# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
7.2240802676	1.0321693609	0.2841354265	1.7802032954
7.2575250836	1.1119815791	0.3474635587	1.8764995996
7.2909698997	1.2015452701	0.4247914170	1.9782991233
7.3244147157	1.2982864648	0.5149976348	2.0815752948
7.3578595318	1.3995568018	0.6160883848	2.1830252188
7.3913043478	1.5027462931	0.7253128846	2.2801797015
7.4247491639	1.6053869127	0.8393320503	2.3714417750
7.4581939799	1.7052411060	0.9544268810	2.4560553310
7.4916387960	1.8003704782	1.0667445391	2.5339964173
7.5250836120	1.8891813904	1.1725837160	2.6057790647
7.5585284281	1.9704458707	1.2687116729	2.6721800686
7.5919732441	2.0432980043	1.3526798817	2.7339161269
7.6254180602	2.1072076845	1.4230716708	2.7913436982
7.6588628763	2.1619351653	1.4795999404	2.8442703901
7.6923076923	2.2074711335	1.5230035945	2.8919386725
7.7257525084	2.2439679422	1.5547619228	2.9331739616
7.7591973244	2.2716681392	1.5767103970	2.9666258815
7.7926421405	2.2908364605	1.5906571534	2.9910157677
7.8260869565	2.3017010342	1.5980695994	3.0053324691
7.8595317726	2.3044086942	1.5998585835	3.0089588049
7.8929765886	2.2989980907	1.5962599990	3.0017361824
7.9264214047	2.2853928060	1.5868059581	2.9839796539
7.9598662207	2.2634150388	1.5703826937	2.9564473839
7.9933110368	2.2328187354	1.5453805195	2.9202569512
8.0267558528	2.1933394454	1.5099430227	2.8767358680
8.0602006689	2.1447567746	1.4623087643	2.8272047850
8.0936454849	2.0869642127	1.4012048114	2.7727236139
8.1270903010	2.0200403968	1.3262095621	2.7138712315
8.1605351171	1.9443156048	1.2379846492	2.6506465603
8.1939799331	1.8604274549	1.1383097880	2.5825451218
8.2274247492	1.7693604354	1.0299268906	2.5087939802
8.2608695652	1.6724649324	0.9162607169	2.4286691479
8.2943143813	1.5714528099	0.8010969776	2.3418086423
8.3277591973	1.4683682198	0.6882737367	2.2484627030
8.3612040134	1.3655340615	0.5814090487	2.1496590743
8.3946488294	1.2654762601	0.4836676235	2.0472848968
8.4280936455	1.1708296507	0.3975649914	1.9440943100
8.4615384615	1.0842306345	0.3248143226	1.8436469463
8.4949832776	1.0082028155	0.2662342219	1.7501714090
8.5284280936	0.9450424448	0.2217520491	1.6683328405
8.5618729097	0.8967106640	0.1905490257	1.6028723023
8.5953177258	0.8647392204	0.1713817703	1.5580966704
8.6287625418	0.8501555548	0.1630538374	1.5372572722
8.6622073579	0.8534319845	0.1649019725	1.5419619964
8.6956521739	0.8744621968	0.1770821158	1.5718422777
8.7290969900	0.9125665483	0.2005010683	1.6246320284
8.7625418060	0.9665258312	0.2364323000	1.6966193623
8.7959866221	1.0346413648	0.2860122956	1.7832704339
8.8294314381	1.1148176140	0.3498144985	1.8798207295
